CargoOK	IdCargo	IdTipo	IdTipo2
 ACI92 1 GB Internet	Fijos	Datos	Smartphone
 ACI92 Minutos Ilimitados otros destinos	Fijos	Voz	Nacional
 ACI95 Minutos Ilimitados otros destinos	Fijos	Voz	Nacional
 Ajuste Avería en Servicio	Variables	Varios	Otros
 Ajuste por redondeo	Variables	Varios	Otros
 Internet Roaming Eslovenia	Variables	Internacional	Roaming Datos
 Libres Clearing de servicios	Variables	Varios	Otros
 Minutos libres a otras compañías	Variables	Plan	Voz Incluido
 Perc. IIBB CABA	Impuestos	Percepcion	Percepcion
 Perc. IIBB Neuquén RG 35/19	Impuestos	Percepcion	Percepcion
 Plan Ab Bundle Corp 55	Fijos	Varios	Otros
 Refacturación equipo	Variables	Varios	Equipos
 Refacturación Internet	Fijos	Datos	Smartphone
 Refacturación otros servicios	Variables	Varios	Otros
 SMS Roaming Suecia	Variables	Internacional	Roaming SMS
 VPN + 3GB	Fijos	Varios	Otros
"Messages Backup & Sync"	Variables	Servicios	Otros
(M) 10% 12 meses TMM	Variables	Varios	Variables
**OC Device Financing Rate	Variables	Varios	Equipos
*66266 Prima	Variables	Servicios	Otros
0300 Brasil Telecom	Variables	Excedente	Voz Red
0300 BRASIL TELECOM 0300 EMBRATEL	Variables	Excedente	Voz Red
0300 Embratel	Variables	Excedente	Voz Red
0300 EMBRATEL SERVICOS	Variables	Excedente	Voz Red
0300 Gol Linhas Aereas Servicios	Variables	Excedente	Voz Red
0300 OI SERVICOS 0300	Variables	Servicios	Otros
0300 Telefonica	Variables	Excedente	Voz Red
0300 TELEFONICA Para Celulares Vivo	Variables	Excedente	Voz Red
0300 TELEMAR 0300 - TELEMAR - ROA	Variables	Excedente	Voz Aire
0900 CALCULO S.A.	Variables	Servicios	Otros
0900 CALCULO S.A. 3?	Variables	Servicios	Otros
0900 DONACION	Variables	Servicios	Otros
0900 DONACION TERCEROS	Variables	Servicios	Otros
1 Consultas a buzón x86	Variables	Servicios	Otros
1 de junio internet por di­a en mayo $179 + movistar cloud - movistar cloud 30gb -	Variables	Varios	Otros
1 dia de Compensación por falla de servicio	Variables	Servicios	Otros
1 GB de Datos Libres Adic.	Fijos	Datos	Smartphone
1 GB Internet	Fijos	Datos	Smartphone
1 GB Internet x 1 día	Variables	Datos	Datos Excedentes
1 GB Internet x 1 día 	Variables	Datos	Datos Excedentes
1 GB Internet x 3 días	Variables	Datos	Datos Excedentes
1 GB Internet x 30 días	Variables	Datos	Datos Excedentes
1 GB Internet x 7 dias	Variables	Datos	Datos Excedentes
1 GB Internet x 7 días	Variables	Datos	Datos Excedentes
1 GB Internet x 3 días	Variables	Datos	Datos Excedentes
1 GB Internet x 7 días	Variables	Datos	Datos Excedentes
1 GB Renovación Datos Promo F.	Variables	Datos	Datos Excedentes
1 GB x Internet 30 días	Fijos	Datos	Smartphone
1 Month Free	Fijos	Varios	Otros
1,5 Gigas Incluidos	Fijos	Datos	Smartphone
10 GB Internet	Fijos	Varios	Todo Incluido
10 GB Internet Noche x 1 día	Variables	Datos	Datos Excedentes
10 GB Internet x 15 días	Variables	Datos	Datos Excedentes
10 GB Internet x 30 días	Variables	Datos	Datos Excedentes
10% - Feature Discount	Fijos	Varios	Otros
100 SMS	Fijos	Varios	Nacional SMS
100 SMS Multidestino	Fijos	Varios	Nacional SMS
1000 Message Allowance	Fijos	Varios	Nacional SMS
1000 SMS	Fijos	Varios	Nacional SMS
1000 SMS Libres Adicionales	Fijos	Varios	Nacional SMS
10000 SMS	Fijos	Varios	Nacional SMS
100000 Minutos Libres Adicionales GC	Variables	Plan	Voz Incluido
100MB - Pacote Internet Ilimitado	Fijos	Datos	Smartphone
10GB - Pacote Internet Ilimitado	Fijos	Datos	Smartphone
10GB Internet x 30 días	Variables	Datos	Datos Excedentes
110 SMS Multidestino	Fijos	Varios	Nacional SMS
110 SMS Multidestino T-Empresa	Fijos	Varios	Nacional SMS
1151 Verizon Txt2Landline	Variables	Servicios	Otros
12 GB Internet	Fijos	Datos	Smartphone
128GB	Variables	Varios	Equipos
13 Samsung Galaxy A32 4g Blanco $33470,33	Variables	Varios	Equipos
15 GB Internet	Fijos	Datos	Smartphone
150 SMS	Fijos	Varios	Nacional SMS
16 GB Internet	Fijos	Datos	Smartphone
160 SMS Multidestino	Fijos	Varios	Nacional SMS
188 Movistar Carrier	Variables	Internacional	LDI Voz
1Gb (2+2+1) Navegacion LIN - ATL	Fijos	Datos	Smartphone
