CargoOK	IdCargo_IdTipo_IdTipo2
Plan Internet Móvil Ilimitado	Fijos-Datos-BAM
Plan Internet Móvil Ilimitado	Fijos-Datos-BAM
PLAN INTERNET MOVIL ILIMITADO	Fijos-Datos-BAM
PLAN INTERNET MOVIL ILIMITADO	Fijos-Datos-BAM
Plan Datos Ilimitado GGCC	Fijos-Datos-BAM
Plan Datos Ilimitado GGCC	Fijos-Datos-BAM
Plan Datos Ilimitado GGCC	Fijos-Datos-BAM
Internet  Movistar Ilimitado	Fijos-Datos-BAM
IM EMP Control 3 GB	Fijos-Datos-BAM
IM EMP Control 3 GB	Fijos-Datos-BAM
Abono 3G Ilimitado	Fijos-Datos-BAM
Abono 3G Ilimitado	Fijos-Datos-BAM
Abono 3G Ilimitado	Fijos-Datos-BAM
Abono 3G Ilimitado	Fijos-Datos-BAM
Abono 3G Ilimitado	Fijos-Datos-BAM
Plan BlackBerry Profesional BIS	Fijos-Datos-Blackberry
Plan BlackBerry Profesional BIS	Fijos-Datos-Blackberry
Plan BlackBerry Profesional BIS	Fijos-Datos-Blackberry
Plan BlackBerry Profesional BIS	Fijos-Datos-Blackberry
Plan BlackBerry Profesional BIS	Fijos-Datos-Blackberry
Plan BlackBerry Profesional BIS	Fijos-Datos-Blackberry
Plan BlackBerry Profesional BIS	Fijos-Datos-Blackberry
Reseteador de Cuota Local	Variables-Datos-Datos Excedentes
Internet Por dia	Variables-Datos-Datos Excedentes
Internet Por dia	Variables-Datos-Datos Excedentes
Internet Móvel INT MOVEL EXCEDENTE	Variables-Datos-Datos Excedentes
Descuento según plan	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
Datos Excedentes	Variables-Datos-Datos Excedentes
KB Tráfico Libres Adicionales PULA	Variables-Datos-Datos Incluidos
